File_name;Com_number;diff_V_B;diff_1_2;Overlapping;S_number_1;Signal_1;S_start_T_1;S_end_T_1;S_duration_1;S_Dur_ana_1;Signal_record_1;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;S_number_2;Signal_2;S_start_T_2;S_end_T_2;S_duration_2;S_Dur_ana_2;Signal_record_2;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
ZEWACT_191121_Exp19_LG1;VEC0018a;2240;2240;Yes;VEG0328;Gesture;326240;329870;3630;Include;Ear-Spread;No;Yes;Yes;NA;VEV0069;Vocalisation;328480;330760;2280;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;Urinating;Greet_rcp;KB;20;Female;0.21952885;Different;NA;329300;Time_ex_sgn;323544;Ch_rumble_time_inc;306500;Ears-Stiff
ZEWACT_191121_Exp19_LG1;VEC0018b;1134;1134;Yes;VEG0330;Gesture;322410;325394;2984;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0070;Vocalisation;323544;328240;4696;Include;Rumble;Audible;Ear;2;Yes;Neck;App_Undir;5_10;None;B;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;328295;Time_ex_rcp;328480;Ch_rumble_time_inc;308341;Ear-Flapping
ZEWACT_191121_Exp19_LG1;VEC0018b;13375;13375;Yes;VEG0338;Gesture;316550;330032;13482;Exclude_end;Tail-on-Side;No;Yes;Yes;NA;VEV0071;Vocalisation;329925;332540;2615;Include;Rumble;Unk;Tail;NV;No;NV;App_Undir;10_20;None;NV;NV;VA_front;In front;Unk;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;328295;Time_ex_rcp;328480;Ch_rumble_time_inc;308341;Ear-Flapping
ZEWACT_191121_Exp19_LG1;VEC0018b;3225;3225;Yes;VEG0340;Gesture;326700;331000;4300;Include;Rump-Present;No;Yes;Yes;NA;VEV0071;Vocalisation;329925;332540;2615;Include;Rumble;Visual;Rump;NV;No;NV;Self;1_3;None;NV;NV;VA_front;In front;VA_front;KB;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_sgn;DM;46;Male;0.21952885;Different;NA;328295;Time_ex_rcp;328480;Ch_rumble_time_inc;308341;Ear-Flapping
ZEWACT_211121_Exp21_LG1;VEC0020b;1207;1207;Yes;VEG0358;Gesture;261882;265320;3438;Include;Tail-Waggling;No;NV;Yes;NA;VEV0074;Vocalisation;263089;266638;3549;Include;Roar;Unk;Tail;2;No;NV;App_Undir;10_20;None;NV;NV;VA_front;In front;Unclear;HW;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.15680396;Different;NA;277774;Time_ex_rcp;261362;Roar;255323;Ear-Flapping
ZEWACT_211121_Exp21_LG1;VEC0020b;5493;5493;Yes;VEG0359;Gesture;265387;274800;9413;Include;Tail-on-Side;No;NV;Yes;NA;VEV0075;Vocalisation;270880;279380;8500;Include;Rumble;Unk;Tail;NV;No;NV;App_Undir;5_10;None;NV;NV;VA_90;Parallel;VA_90;HW;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.15680396;Different;NA;277774;Time_ex_rcp;261362;Roar;255323;Ear-Flapping
ZEWACT_211121_Exp21_LG1;VEC0020b;113;113;Yes;VEG0379;Gesture;270767;275540;4773;Include;Back-Towards;No;NV;Yes;NA;VEV0075;Vocalisation;270880;279380;8500;Include;Rumble;Visual;Rump;NV;No;NV;Self;3_5;None;NV;NV;VA_90;Perpendicular;VA_front;HW;20;Female;Travel;Af_Lit_Greet;Urinating;Greet_sgn;DM;46;Male;0.15680396;Different;NA;277774;Time_ex_rcp;261362;Roar;255323;Ear-Flapping
ZEWACT_211121_Exp21_LG1;VEC0020a;1900;1900;Yes;VEG0386;Gesture;251100;253377;2277;Include;Ear-Flapping;No;No;Yes;NA;VEV0306;Vocalisation;253000;255320;2320;Exclude_end;Rumble;Audible;Ear;2;Unk;Neck;App_Undir;20_50;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;275200;Time_ex_sgn;255320;Ch_rumble_time_inc;253084;Ear-Spread-Lift
ZEWACT_211121_Exp21_LG1;VEC0020a;1375;1375;Yes;VEG0390;Gesture;259987;262572;2585;Include;Ear-Flapping;No;No;Yes;NA;VEV0076;Vocalisation;261362;263480;2118;Include;Roar;Audible;Ear;2;Unk;Neck;App_Undir;10_20;None;B;NV;VA_front;In front;VA_front;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;275200;Time_ex_sgn;255320;Ch_rumble_time_inc;253084;Ear-Spread-Lift
ZEWACT_211121_Exp21_LG1;VEC0020a;3097;3097;Yes;VEG0395;Gesture;271560;275864;4304;Include;Ear-Flapping;No;Yes;Yes;NA;VEV0077;Vocalisation;274657;278180;3523;Include;Rumble;Audible;Ear;3;Yes;Neck;App_Undir;3_5;None;B;NV;VA_front;Perpendicular;VA_90;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;275200;Time_ex_sgn;255320;Ch_rumble_time_inc;253084;Ear-Spread-Lift
ZEWACT_211121_Exp21_LG1;VEC0020a;536;536;Yes;VEG0406;Gesture;311125;312157;1032;Include;Ear-Slight-Spread;No;Yes;Yes;NA;VEV0079;Vocalisation;311661;318760;7099;Include;Rumble;Visual;Ear;NV;No;NV;App_Undir;0_1;None;B;NV;VA_front;Perpendicular;VA_90;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;275200;Time_ex_sgn;255320;Ch_rumble_time_inc;253084;Ear-Spread-Lift
ZEWACT_211121_Exp21_LG1;VEC0020a;15127;15127;Yes;VEG0417;Gesture;279779;296186;16407;Include;Tail-Stiff;No;Yes;Yes;NA;VEV0078;Vocalisation;294906;299360;4454;Include;Rumble;Unk;Tail;NV;No;NV;App_Undir;u_0;None;NV;NV;VA_front;Perpendicular;No_VA;DM;46;Male;Travel;Af_Lit_Greet;None;Greet_rcp;HW;20;Female;0.15680396;Different;NA;275200;Time_ex_sgn;255320;Ch_rumble_time_inc;253084;Ear-Spread-Lift
