;File_name;Com_number;S_number;Signal;S_start_T;S_end_T;S_duration;S_Dur_ana;Signal_record;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
32;ZEWACT_081121_Exp2;VEC0005a;VEG0021;Gesture;138640;141633;2993;Include;Ears-Stiff;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_90;Perpendicular;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
33;ZEWACT_081121_Exp2;VEC0005a;VEG0023;Gesture;141633;145493;3860;Include;Ear-Spread;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;Perpendicular;VA_90;NA;NA;NA;Not sure what that short vocalization is and if HW made it or the rumble;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
34;ZEWACT_081121_Exp2;VEC0005a;VEG0024;Gesture;145504;149264;3760;Include;Ear-Slight-Spread;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
35;ZEWACT_081121_Exp2;VEC0005a;VEG0025;Gesture;149264;154844;5580;Include;Ear-Spread;Visual;Ear;NV;No;NV;App_Undir;u_0;None;B;NV;VA_90;Perpendicular;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
36;ZEWACT_081121_Exp2;VEC0005a;VEG0026;Gesture;154844;156040;1196;Include;Ear-Flapping;Audible;Ear;1;Yes;NV;App_Undir;1_3;None;B;NV;VA_front;Parallel;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
37;ZEWACT_081121_Exp2;VEC0005a;VEG0027;Gesture;156040;158460;2420;Include;Ear-Spread;Visual;Ear;NV;No;NV;App_Undir;1_3;None;B;NV;VA_front;Parallel;VA_90;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
38;ZEWACT_081121_Exp2;VEC0005a;VEG0022;Gesture;143263;144083;820;Include;Ear-Flapping;Audible;Ear;1;Yes;NV;App_Undir;1_3;None;L;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
39;ZEWACT_081121_Exp2;VEC0005a;VEG0028;Gesture;128440;131202;2762;Include;Trunk-Reach;Visual;Trunk;NV;No;NV;App_Undir;u_0;None;NV;Rump;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
40;ZEWACT_081121_Exp2;VEC0005a;VEG0029;Gesture;111085;123800;12715;Include;Tail-Raise;Unk;Tail;NV;No;NV;App_Undir;50_100;None;NV;NV;VA_front;In front;Unk;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
41;ZEWACT_081121_Exp2;VEC0005a;VEG0030;Gesture;125240;126960;1720;Include;Tail-Waggling;Unk;Tail;NV;No;NV;App_Undir;3_5;None;NV;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
42;ZEWACT_081121_Exp2;VEC0005a;VEG0031;Gesture;126960;130440;3480;Include;Tail-Raise;Unk;Tail;NV;No;NV;App_Undir;1_3;None;NV;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
43;ZEWACT_081121_Exp2;VEC0005a;VEG0032;Gesture;130440;155854;25414;Include;Tail-on-Side;Unk;Tail;NV;No;NV;App_Undir;0_1;None;NV;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
44;ZEWACT_081121_Exp2;VEC0005a;VEG0557;Gesture;123800;125240;1440;Include;Tail-Waggling;Unk;Tail;NV;No;NV;App_Undir;5_10;None;NV;NV;VA_front;In front;No_VA;NA;NA;NA;NA;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;128440;NV;112576;Unk;113725;Unk
45;ZEWACT_081121_Exp2;VEC0005a;VEV0004;Vocalisation;81929;85860;3931;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Unk;Unk;No;HW not visible;HW;20;Female;Travel;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.375132225;Same;NA;NA;NA;NA;NA;NA;NA
