;X;File_name;Com_number;S_number;Signal;S_start_T_V;S_end_T_V;S_duration_V;S_Dur_ana;Signal_record;Signal_modality;Body_part;Repetition;Audible;Contact_part;Directionality;Distance_rcp;Object;Laterality;Rcp_Body_part;Sig_gaze;Rcp_position;Rcp_Visual_att;V_Combination;V_Mouth_open;V_Sgn_in_frame;S_Comment;Signaller;Signaller_age;Signaller_sex;Sgn_prior_context;Sgn_post_context;Sgn_olf_signals;Goal;Recipient;Recipient_age;Recipeint_sex;NN_Index;Sex_Dyad;Comment;BhvCh_start_T;BhvCh_start;Voc_rcp_T;Voc_rcp;G_rcp_T;G_rcp
335;399;ZEWACT_171121_Exp16_LG1;VEC0015b;VEV0052;Vocalisation;558720;563733;5013;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Listening;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
336;400;ZEWACT_171121_Exp16_LG1;VEC0015b;VEV0053;Vocalisation;566880;571720;4840;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;DM;46;Male;Listening;Af_Lit_Greet;Urinating;Greet_rcp;MN;26;Male;0.160529737;Same;NA;NA;NA;NA;NA;NA;NA
348;421;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0055;Vocalisation;282280;285400;3120;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
349;422;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0056;Vocalisation;288280;292400;4120;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
350;423;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0057;Vocalisation;301972;308240;6268;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;No;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
351;424;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0058;Vocalisation;319680;328000;8320;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
352;425;ZEWACT_181121_Exp17_LG1;VEC0016a;VEV0059;Vocalisation;332140;339120;6980;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Yes;Yes;NA;MS;20;Female;Drinking;Af_Lit_Greet;Urin_Temp_gland;Greet_unc;KB;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
361;434;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0060;Vocalisation;281160;282360;1200;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
362;435;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0061;Vocalisation;285280;286840;1560;Include;Roar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
363;436;ZEWACT_181121_Exp17_LG1;VEC0016b;VEV0062;Vocalisation;286900;288420;1520;Include;Rumble;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Unk;No;NA;KB;20;Female;Unk;Af_Lit_Greet;Temp_gland_secr;Greet_unc;MS;20;Female;0.137141714;Same;NA;NA;NA;NA;NA;NA;NA
